时间,震级,地点,前半段深度TSE,后半段深度TSE,深度变化,前半段震级TSE,后半段震级TSE,震级变化,前震数量
2012-03-25 22:37:06,7.1,"23 km NE of Constitución, Chile",1.4892,1.4973,-0.0081,1.5000,1.4317,0.0683,10
2012-03-20 18:02:47.440000,7.4,"6 km E of Santiago Llano Grande, Mexico",1.5000,1.4925,0.0075,1.4830,1.4925,-0.0094,12
2012-02-02 13:34:40.650000,7.1,"125 km W of Port-Vila, Vanuatu",1.4925,1.3589,0.1336,1.4925,1.4986,-0.0061,13
2012-01-10 18:36:59.080000,7.2,off the west coast of northern Sumatra,1.5000,1.4945,0.0055,1.4981,1.4499,0.0482,13
2011-12-14 05:04:58.630000,7.1,"25 km SSE of Wau, Papua New Guinea",1.4892,1.4925,-0.0033,1.4973,1.4925,0.0048,11
2011-10-23 10:41:23.250000,7.1,"27 km NNE of Van, Turkey",1.4527,1.4830,-0.0304,1.4925,1.4698,0.0227,12
2011-10-21 17:57:16.100000,7.4,Kermadec Islands region,1.4973,1.4981,-0.0008,1.4973,1.4981,-0.0008,11
2011-09-15 19:31:04.080000,7.3,Fiji region,1.4011,1.4981,-0.0970,1.4011,1.4925,-0.0914,11
2011-09-03 22:55:40.920000,7.0,"133 km SSE of Isangel, Vanuatu",1.4892,1.4527,0.0365,1.4973,1.4527,0.0446,11
2011-08-24 17:46:11.650000,7.0,"64 km ESE of Contamana, Peru",1.4830,1.4830,0.0000,1.4698,1.4981,-0.0283,12
2011-08-20 18:19:23.550000,7.1,"64 km S of Port-Vila, Vanuatu",1.5000,1.4778,0.0222,1.4925,1.4876,0.0049,13
2011-08-20 16:55:02.810000,7.2,"71 km SSW of Port-Vila, Vanuatu",1.5000,1.4925,0.0075,1.4317,1.4925,-0.0608,12
2011-07-10 00:57:10.800000,7.0,"177 km ESE of Ishinomaki, Japan",1.5000,1.5000,0.0000,1.4756,1.4756,0.0000,10
2011-07-06 19:03:18.260000,7.6,Kermadec Islands region,1.4973,1.4981,-0.0008,1.5000,1.4925,0.0075,11
2011-06-24 03:09:39.470000,7.3,"Fox Islands, Aleutian Islands, Alaska",1.4958,1.4756,0.0202,1.4830,1.5000,-0.0170,9
2011-04-07 14:32:43.290000,7.1,"29 km ESE of Ishinomaki, Japan",1.5000,1.4830,0.0170,1.5000,1.4925,0.0075,11
2011-03-11 06:25:50.300000,7.7,"272 km ESE of Kamaishi, Japan",1.5000,1.4973,0.0027,1.5000,1.5000,0.0000,10
2011-03-11 06:15:40.280000,7.9,"47 km E of ?arai, Japan",1.4981,1.4925,0.0056,1.4981,1.4981,0.0000,12
2011-03-11 05:46:24.120000,9.1,"2011 Great Tohoku Earthquake, Japan",1.4317,1.4973,-0.0656,1.4564,1.4756,-0.0191,10
2011-03-09 02:45:20.330000,7.3,"120 km SE of ?funato, Japan",1.4973,1.4925,0.0048,1.4892,1.5000,-0.0108,11
2011-01-18 20:23:23.480000,7.2,"46 km WSW of Dalbandin, Pakistan",1.5000,1.4830,0.0170,1.4892,1.4527,0.0365,11
2011-01-13 16:16:41.540000,7.0,"118 km NNE of Tadine, New Caledonia",1.4617,1.4973,-0.0356,1.4958,1.4892,0.0066,9
2011-01-02 20:20:17.780000,7.2,"42 km NNW of Carahue, Chile",1.4981,1.4876,0.0106,1.4925,1.5000,-0.0075,13
2011-01-01 09:56:58.120000,7.0,"26 km NNE of El Hoyo, Argentina",1.4698,1.4981,-0.0283,1.4981,1.4830,0.0151,12
2010-12-25 13:16:37,7.3,"141 km W of Isangel, Vanuatu",1.4617,1.4973,-0.0356,1.4830,1.4892,-0.0061,9
2010-12-21 17:19:40.660000,7.4,"Bonin Islands, Japan region",1.5000,1.4653,0.0347,1.4981,1.4945,0.0036,13
2010-10-25 14:42:22.460000,7.8,"215 km SW of Sungai Penuh, Indonesia",1.5000,1.4892,0.0108,1.4973,1.4756,0.0217,10
2010-09-29 17:11:25.940000,7.0,"Near the south coast of Papua, Indonesia",1.4564,1.4981,-0.0417,1.4564,1.4830,-0.0266,11
2010-09-03 16:35:47.770000,7.0,"19 km NE of Methven, New Zealand",1.4981,1.4981,0.0000,1.4925,1.5000,-0.0075,12
2010-08-12 11:54:15.580000,7.1,Ecuador,1.4892,1.4925,-0.0033,1.4892,1.4981,-0.0090,11
2010-08-10 05:23:44.980000,7.3,"33 km NW of Port-Vila, Vanuatu",1.4011,1.5000,-0.0989,1.4564,1.4973,-0.0409,10
2010-08-04 22:01:43.620000,7.0,"72 km ESE of Kimbe, Papua New Guinea",1.4958,1.4973,-0.0015,1.4830,1.4564,0.0266,9
2010-07-23 23:15:10.190000,7.5,"72 km S of Panubigan, Philippines",1.5000,1.5000,0.0000,1.5000,1.5000,0.0000,10
2010-07-23 22:51:11.840000,7.6,"61 km W of Bantogon, Philippines",1.4317,1.5000,-0.0683,1.4756,1.4830,-0.0075,11
2010-07-23 22:08:11.250000,7.3,"68 km W of Gadung, Philippines",1.4973,1.4892,0.0081,1.4011,1.4973,-0.0962,10
2010-07-18 13:34:59.360000,7.3,"New Britain region, Papua New Guinea",1.4698,1.4981,-0.0283,1.4981,1.4698,0.0283,12
2010-06-16 03:16:27.550000,7.0,"121 km SSE of Biak, Indonesia",1.4698,1.5000,-0.0302,1.4925,1.4925,0.0000,12
2010-06-12 19:26:50.460000,7.5,"Nicobar Islands, India region",1.5000,1.5000,0.0000,1.5000,1.4925,0.0075,11
2010-05-27 17:14:46.570000,7.2,"100 km WNW of Sola, Vanuatu",1.4698,1.4527,0.0171,1.4698,1.4066,0.0632,12
2010-05-09 05:59:41.620000,7.2,"45 km SSW of Meulaboh, Indonesia",1.4958,1.4892,0.0066,1.4617,1.4892,-0.0274,9
2010-04-06 22:15:01.580000,7.8,"75 km E of Sinabang, Indonesia",1.5000,1.4756,0.0244,1.5000,1.4973,0.0027,10
2010-04-04 22:40:42.360000,7.2,"The 2010 Sierra El Mayor, B.C., Mexico Earthquake",1.4892,1.4698,0.0194,1.4973,1.4925,0.0048,11
2010-03-11 14:55:27.510000,7.0,"52 km NW of Santa Cruz, Chile",1.5000,1.4945,0.0055,1.4925,1.4945,-0.0020,13
2010-02-27 08:01:23.010000,7.4,"124 km W of Lebu, Chile",1.4981,1.4925,0.0056,1.4698,1.4925,-0.0227,12
2010-02-27 06:34:11.530000,8.8,"2010 Maule, Chile Earthquake",1.4892,1.4925,-0.0033,1.4011,1.4981,-0.0970,11
2010-02-26 20:31:26.970000,7.0,"70 km SE of Katsuren-haebaru, Japan",1.4892,1.4830,0.0061,1.4317,1.4698,-0.0382,11
2010-01-12 21:53:10.060000,7.0,"10 km SE of Léogâne, Haiti",1.4981,1.5000,-0.0019,1.4830,1.4981,-0.0151,12
2010-01-03 22:36:25.640000,7.1,"94 km SE of Gizo, Solomon Islands",1.4617,1.4973,-0.0356,1.4317,1.4892,-0.0575,9
2009-11-09 10:44:55.110000,7.3,"77 km ENE of Ba, Fiji",1.4958,1.4973,-0.0015,1.4958,1.5000,-0.0042,9
2009-10-07 23:13:48.160000,7.4,"143 km NW of Sola, Vanuatu",1.4925,1.4981,-0.0056,1.4925,1.4925,0.0000,12
2009-10-07 22:18:51.240000,7.8,"196 km NW of Sola, Vanuatu",1.4973,1.4830,0.0142,1.4973,1.4925,0.0048,11
2009-10-07 22:03:14.470000,7.7,"148 km NW of Sola, Vanuatu",1.4925,1.5000,-0.0075,1.4830,1.4981,-0.0151,12
2009-09-30 10:16:09.250000,7.6,"30 km WSW of Pariaman, Indonesia",1.4756,1.4973,-0.0217,1.4973,1.5000,-0.0027,10
2009-09-29 17:48:10.990000,8.1,2009 Samoa Earthquake,1.4756,1.4698,0.0058,1.4892,1.4830,0.0061,11
2009-09-02 07:55:01.050000,7.0,"66 km SSW of Banjar, Indonesia",1.5000,1.4756,0.0244,1.4892,1.4011,0.0881,10
2009-08-10 19:55:38.730000,7.5,"266 km N of Bamboo Flat, India",1.4756,1.4981,-0.0226,1.4973,1.4698,0.0275,11
2009-08-09 10:55:55.110000,7.1,"161 km S of ?yama, Japan",1.4981,1.4925,0.0056,1.4698,1.4981,-0.0283,12
2009-07-15 09:22:29.030000,7.8,"97 km WSW of Te Anau, New Zealand",1.4981,1.4830,0.0151,1.4830,1.4981,-0.0151,12
2009-05-28 08:24:46.560000,7.3,"46 km NW of Guanaja, Honduras",1.4830,1.4317,0.0514,1.4925,1.4698,0.0227,12
2009-03-19 18:17:40.470000,7.6,"191 km S of ‘Ohonua, Tonga",1.4958,1.4973,-0.0015,1.4617,1.4564,0.0053,9
2009-02-18 21:53:45.160000,7.0,Kermadec Islands region,1.4973,1.4698,0.0275,1.3646,1.4925,-0.1279,11
2009-02-11 17:34:50.490000,7.2,"196 km SSE of Sarangani, Philippines",1.4892,1.4830,0.0061,1.4756,1.4981,-0.0226,11
2009-01-15 17:49:39.070000,7.4,east of the Kuril Islands,1.4317,1.4756,-0.0439,1.4892,1.4892,0.0000,10
2009-01-03 22:33:40.290000,7.4,"86 km WNW of Manokwari, Indonesia",1.4925,1.4499,0.0425,1.4981,1.4499,0.0482,13
2009-01-03 19:43:50.650000,7.7,"140 km WNW of Manokwari, Indonesia",1.4986,1.4986,0.0000,1.4986,1.4104,0.0882,14
2008-11-24 09:02:58.760000,7.3,"284 km WSW of Mil’kovo, Russia",1.5000,1.4981,0.0019,1.4973,1.4925,0.0048,11
2008-11-16 17:02:32.700000,7.4,"135 km NW of Gorontalo, Indonesia",1.4981,1.4104,0.0877,1.5000,1.5000,0.0000,13
2008-09-29 15:19:31.590000,7.0,"Kermadec Islands, New Zealand",1.4830,1.4756,0.0075,1.4830,1.5000,-0.0170,9
2008-07-19 02:39:28.700000,7.0,"107 km E of Namie, Japan",1.4958,1.4892,0.0066,1.4830,1.4892,-0.0061,9
2008-07-05 02:12:04.480000,7.7,Sea of Okhotsk,1.4564,1.4981,-0.0417,1.4756,1.4925,-0.0169,11
2008-06-30 06:17:43.020000,7.0,South Sandwich Islands region,1.4958,1.4973,-0.0015,1.4830,1.5000,-0.0170,9
2008-05-12 06:28:01.570000,7.9,"58 km W of Tianpeng, China",1.5000,1.4973,0.0027,1.4830,1.4564,0.0266,9
2008-04-12 00:30:12.600000,7.1,Macquarie Island region,1.4756,1.4756,0.0000,1.4756,1.4973,-0.0217,10
