time,mag,lat,lon,depth,place
2010-05-09 05:59,7.2,3.748,96.018,38.0,"45 km SSW of Meulaboh, Indonesia"
2010-04-06 22:15,7.8,2.383,97.048,31.0,"75 km E of Sinabang, Indonesia"
2010-04-04 22:40,7.2,32.2861667,-115.2953333,9.987,"The 2010 Sierra El Mayor, B.C., Mexico Earthquake"
2010-03-11 14:55,7.0,-34.326,-71.799,18.0,"52 km NW of Santa Cruz, Chile"
2010-02-27 08:01,7.4,-37.773,-75.048,35.0,"124 km W of Lebu, Chile"
2010-02-27 06:34,8.8,-36.122,-72.898,22.9,"2010 Maule, Chile Earthquake"
2010-02-26 20:31,7.0,25.93,128.425,25.0,"70 km SE of Katsuren-haebaru, Japan"
2010-01-12 21:53,7.0,18.443,-72.571,13.0,"10 km SE of Léogâne, Haiti"
2010-01-03 22:36,7.1,-8.783,157.354,10.0,"94 km SE of Gizo, Solomon Islands"
2009-11-09 10:44,7.3,-17.239,178.331,595.0,"77 km ENE of Ba, Fiji"
2009-10-07 23:13,7.4,-13.093,166.497,31.1,"143 km NW of Sola, Vanuatu"
2009-10-07 22:18,7.8,-12.517,166.382,35.0,"196 km NW of Sola, Vanuatu"
2009-10-07 22:03,7.7,-13.006,166.51,45.0,"148 km NW of Sola, Vanuatu"
2009-09-30 10:16,7.6,-0.72,99.867,81.0,"30 km WSW of Pariaman, Indonesia"
2009-09-29 17:48,8.1,-15.489,-172.095,18.0,2009 Samoa Earthquake
2009-09-02 07:55,7.0,-7.782,107.297,46.0,"66 km SSW of Banjar, Indonesia"
2009-08-10 19:55,7.5,14.099,92.902,24.0,"266 km N of Bamboo Flat, India"
2009-08-09 10:55,7.1,33.167,137.944,292.0,"161 km S of ?yama, Japan"
2009-07-15 09:22,7.8,-45.762,166.562,12.0,"97 km WSW of Te Anau, New Zealand"
2009-05-28 08:24,7.3,16.731,-86.217,19.0,"46 km NW of Guanaja, Honduras"
2009-03-19 18:17,7.6,-23.043,-174.66,31.0,"191 km S of ‘Ohonua, Tonga"
2009-02-18 21:53,7.0,-27.424,-176.33,25.0,Kermadec Islands region
2009-02-11 17:34,7.2,3.886,126.387,20.0,"196 km SSE of Sarangani, Philippines"
2009-01-15 17:49,7.4,46.857,155.154,36.0,east of the Kuril Islands
