time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-05-12T16:41:23.710Z,32.137,104.883,10,4.2,mb,33,119.3,,1.02,us,usp000g6c2,2014-11-07T01:35:58.927Z,"43 km NNE of Jiangyou, China",earthquake,,,,8,reviewed,us,us
2008-05-12T16:40:54.750Z,30.995,103.918,10,4.1,mb,10,129,,0.83,us,usp000g6c1,2014-11-07T01:35:58.925Z,"2 km WNW of Tianpeng, China",earthquake,,,,2,reviewed,us,us
2008-05-12T16:36:55.960Z,31.991,104.647,10,4.4,mb,19,127.5,,1.21,us,usp000g6c0,2014-11-07T01:35:58.923Z,"25 km NNW of Jiangyou, China",earthquake,,,,1,reviewed,us,us
2008-05-12T16:34:11.600Z,32.367,105.162,13.2,4.3,mb,30,95.7,,0.64,us,usp000g6bz,2014-11-07T01:35:58.920Z,"62 km W of Guangyuan, China",earthquake,,9.3,,5,reviewed,us,us
2008-05-12T16:32:27.470Z,31.28,104.339,10,4.8,mb,9,129.3,,1.45,us,usp000g6by,2014-11-07T01:35:58.919Z,"17 km NNW of Deyang, China",earthquake,,,,1,reviewed,us,us
2008-05-12T16:28:52.010Z,31.127,103.76,10,4.6,mb,51,96.8,,0.68,us,usp000g6bx,2014-11-07T01:35:58.915Z,"23 km NW of Tianpeng, China",earthquake,,,,25,reviewed,us,us
2008-05-12T16:28:24.650Z,31.493,104.446,10,4.2,mb,9,173.1,,0.89,us,usp000g6bw,2014-11-07T01:35:58.913Z,"22 km W of Mianyang, China",earthquake,,,,2,reviewed,us,us
2008-05-12T16:27:18.680Z,31.703,104.328,22.4,4.1,mb,22,127.3,,1.16,us,usp000g6bv,2014-11-07T01:35:58.911Z,"37 km W of Jiangyou, China",earthquake,,32.6,,3,reviewed,us,us
2008-05-12T16:26:31.530Z,32.537,105.634,10,4.4,mb,12,130.4,,0.88,us,usp000g6bu,2014-11-07T01:35:58.910Z,"20 km WNW of Guangyuan, China",earthquake,,,,1,reviewed,us,us
2008-05-12T16:24:40.880Z,31.127,103.677,10,4.1,mb,10,171.1,,1.01,us,usp000g6bt,2014-11-07T01:35:58.908Z,"29 km WNW of Tianpeng, China",earthquake,,,,1,reviewed,us,us
2008-05-12T16:18:53.480Z,31.956,104.781,10,4.2,mb,6,185.4,,0.79,us,usp000g6br,2014-11-07T01:35:58.905Z,"21 km NNE of Jiangyou, China",earthquake,,,,1,reviewed,us,us
